mu,sigma
-911652.7995170853,6339995.622147881
30050.81261791341,195031.2489842067
190.53121686256117,1757.645706540816
30381.69898229721,742726.4365101111
3307.5022164870734,15956.41697690927
-46452.15553226046,314038.40787178284
2163.853939609744,14580.95809299382
-196.7950963038362,1618.1573837511248
-560.1843625215112,5026.552666979264
58190.21870115262,524019.4153273448
1014.9381725235735,5052.938813242102
-660.1325369582316,6390.227937705512
7649.833164949547,50085.613660245894
-373671.5916450635,2855489.0325522223
10143.42509883176,72596.90439845216
83.55099334114747,655.6608628263242
86.28417953533823,710.6587324050539
8319509551849.883,58236566865079.98
-1202.9387586862495,8563.260562428424
217.7383473642722,2188.252891815354
455.4459054146334,2295.992647546447
-165177.79725876555,1157782.1881633042
1842.7404621162307,10231.733495727993
1311.3360681509864,11614.731005742375
-3474.0260494583176,23379.727941252993
1113.9841119710245,5572.589361202639
-62132.882184355694,443764.6296507256
177048797.0969358,1239355230.9811485
1596.2949285750497,10432.767830757663
7097.450152579629,43030.28671144455
-2707.189239988798,16711.902790656288
509.4714828607668,3772.3283663864836
213408.9897275988,1461942.8282818636
-4429.123297391926,31822.481087804168
113.69376925674187,576.3461134267442
498.43295650907066,4302.876043327037
64095.687031346446,459155.59503266896
-3120.4423308502405,21703.897308529693
1752.4720636886004,12213.37673897594
-14990204.451716408,104948833.45285413
-38268.6935767534,233021.4371505331
1316242.3884599218,9218765.030386578
1501.491338123895,6957.925294366173
-160.97691256969603,1153.016752895671
378.50240562682285,1849.3051106005992
304.6517261009562,1587.9247909237138
-336895317.9801056,2358269480.348903
97.87951390148731,222.8666264211408
332.76873570071587,2215.9609567325106
-738.1504522173942,3267.8212928706484
-76.09226834366427,6456.174652786985
1426.9783480746316,18919.202185394948
113.05550580340685,1946.9709210011858
-193.13638866286186,1012.5096048338536
25189.143848310006,170486.27635562114
5173.996875374005,45764.30041331981
-37.08942828078895,8233.722133252762
22.266999915703938,146.2591992752872
11184.26963579813,77012.16676964259
-3185.436922578781,23094.584643629063
-1028815.1933757566,7834546.422529243
38646.681969578334,336012.7043852435
13085.46619379696,78062.9777245883
-1626.0135983527011,12362.560235806177
-5728.467968320535,34548.55910239576
-41099.44180537025,301650.48539421713
25836.565482338894,180573.01236336687
-240.6371263173774,1248.2748309731041
-177895.26574784188,1246404.7912332485
2921987.2437649285,20454502.58694227
-5332.502130285621,37248.71077903593
-3855.305779019622,80338.23839565685
-31885.95378979123,225081.73785886023
-10911.492331252482,99172.84342115307
1310.7143618412397,9719.441961965
221.07201159946214,3093.870021552413
-3057253.347493487,21434434.65646986
32563.561757560023,130153.78236287757
2031134.7610832464,14217359.593056547
-121913.48955165857,851536.8882507284
-120422.21538784815,833689.5991166238
-68.07822904105441,457.91840369265645
-62.03776653768598,1107.0205977885075
2075.549509347257,31503.784512036273
867.7203381650685,6313.181215748432
-983.4906785291979,5400.85292163896
-1866.005619133782,12821.193913018624
36.531360793653576,740.8014599047527
89122.32815843211,621843.340759018
-2555350.8178202324,17883287.87041966
-171.91113745285256,4692.18549323319
-509.15636106478354,3167.7523545229415
2186.206314942671,12490.867988342101
-252410007.2407686,1766840123.4852922
1038.0468614321262,11955.018889848134
-21679.123958292817,302970.77775717544
-2963.264576545789,19942.784060655675
234.4620694614189,2149.2105412380774
-142361.35274474765,1108253.9336907477
687609.2662527316,4679493.905364493
