,1,rbf,linear,poli
"(0, 1, 1)","(0, 1, 1.5)",0.96,0.96,0.975
"(0, 1, 1)","(0, 1, 2)",0.915,1.0,0.61
"(0, 1, 1)","(0, 3, 1)",1.0,1.0,1.0
"(0, 1, 1)","(0, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(0, 3, 2)",0.735,1.0,0.52
"(0, 1, 1)","(0, 5, 1)",1.0,1.0,1.0
"(0, 1, 1)","(0, 5, 1.5)",1.0,1.0,0.995
"(0, 1, 1)","(0, 5, 2)",0.96,1.0,0.635
"(0, 1, 1)","(5, 1, 1)",1.0,1.0,1.0
"(0, 1, 1)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(5, 1, 2)",0.905,1.0,0.55
"(0, 1, 1)","(5, 3, 1)",1.0,1.0,1.0
"(0, 1, 1)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(5, 3, 2)",0.755,1.0,0.545
"(0, 1, 1)","(5, 5, 1)",1.0,1.0,1.0
"(0, 1, 1)","(5, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(5, 5, 2)",0.58,1.0,0.515
"(0, 1, 1)","(10, 1, 1)",1.0,1.0,1.0
"(0, 1, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(10, 1, 2)",1.0,1.0,0.56
"(0, 1, 1)","(10, 3, 1)",1.0,1.0,1.0
"(0, 1, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(10, 3, 2)",1.0,1.0,0.685
"(0, 1, 1)","(10, 5, 1)",1.0,1.0,1.0
"(0, 1, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(10, 5, 2)",0.945,1.0,0.62
"(0, 1, 1.5)","(0, 1, 2)",0.865,0.975,0.61
"(0, 1, 1.5)","(0, 3, 1)",0.955,0.95,0.94
"(0, 1, 1.5)","(0, 3, 1.5)",0.99,0.99,0.98
"(0, 1, 1.5)","(0, 3, 2)",0.735,0.995,0.52
"(0, 1, 1.5)","(0, 5, 1)",0.995,0.99,0.99
"(0, 1, 1.5)","(0, 5, 1.5)",0.995,0.995,0.99
"(0, 1, 1.5)","(0, 5, 2)",0.94,1.0,0.635
"(0, 1, 1.5)","(5, 1, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 1, 2)",0.88,1.0,0.55
"(0, 1, 1.5)","(5, 3, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 3, 2)",0.75,1.0,0.545
"(0, 1, 1.5)","(5, 5, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 5, 2)",0.58,1.0,0.515
"(0, 1, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 1, 2)",1.0,1.0,0.56
"(0, 1, 1.5)","(10, 3, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 3, 2)",0.995,1.0,0.685
"(0, 1, 1.5)","(10, 5, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 5, 2)",0.945,1.0,0.62
"(0, 1, 2)","(0, 3, 1)",0.84,0.98,0.61
"(0, 1, 2)","(0, 3, 1.5)",0.755,0.77,0.605
"(0, 1, 2)","(0, 3, 2)",0.615,0.66,0.51
"(0, 1, 2)","(0, 5, 1)",0.78,0.865,0.61
"(0, 1, 2)","(0, 5, 1.5)",0.67,0.675,0.6
"(0, 1, 2)","(0, 5, 2)",0.735,0.765,0.585
"(0, 1, 2)","(5, 1, 1)",1.0,1.0,0.61
"(0, 1, 2)","(5, 1, 1.5)",1.0,1.0,0.61
"(0, 1, 2)","(5, 1, 2)",0.76,0.83,0.505
"(0, 1, 2)","(5, 3, 1)",1.0,1.0,0.61
"(0, 1, 2)","(5, 3, 1.5)",0.995,0.995,0.61
"(0, 1, 2)","(5, 3, 2)",0.63,0.875,0.525
"(0, 1, 2)","(5, 5, 1)",0.99,1.0,0.61
"(0, 1, 2)","(5, 5, 1.5)",0.945,0.975,0.605
"(0, 1, 2)","(5, 5, 2)",0.57,0.87,0.515
"(0, 1, 2)","(10, 1, 1)",1.0,1.0,0.62
"(0, 1, 2)","(10, 1, 1.5)",1.0,1.0,0.62
"(0, 1, 2)","(10, 1, 2)",0.94,0.96,0.515
"(0, 1, 2)","(10, 3, 1)",1.0,1.0,0.62
"(0, 1, 2)","(10, 3, 1.5)",1.0,1.0,0.61
"(0, 1, 2)","(10, 3, 2)",0.895,0.93,0.52
"(0, 1, 2)","(10, 5, 1)",1.0,1.0,0.615
"(0, 1, 2)","(10, 5, 1.5)",0.995,1.0,0.605
"(0, 1, 2)","(10, 5, 2)",0.805,0.92,0.54
"(0, 3, 1)","(0, 3, 1.5)",0.99,0.995,0.99
"(0, 3, 1)","(0, 3, 2)",0.735,1.0,0.52
"(0, 3, 1)","(0, 5, 1)",0.995,0.995,0.995
"(0, 3, 1)","(0, 5, 1.5)",0.995,1.0,0.995
"(0, 3, 1)","(0, 5, 2)",0.935,1.0,0.635
"(0, 3, 1)","(5, 1, 1)",1.0,1.0,1.0
"(0, 3, 1)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(5, 1, 2)",0.845,1.0,0.55
"(0, 3, 1)","(5, 3, 1)",1.0,1.0,1.0
"(0, 3, 1)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(5, 3, 2)",0.725,1.0,0.545
"(0, 3, 1)","(5, 5, 1)",1.0,1.0,1.0
"(0, 3, 1)","(5, 5, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(5, 5, 2)",0.58,1.0,0.515
"(0, 3, 1)","(10, 1, 1)",1.0,1.0,1.0
"(0, 3, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(10, 1, 2)",1.0,1.0,0.56
"(0, 3, 1)","(10, 3, 1)",1.0,1.0,1.0
"(0, 3, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(10, 3, 2)",0.995,1.0,0.685
"(0, 3, 1)","(10, 5, 1)",1.0,1.0,1.0
"(0, 3, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(10, 5, 2)",0.94,1.0,0.62
"(0, 3, 1.5)","(0, 3, 2)",0.71,0.985,0.52
"(0, 3, 1.5)","(0, 5, 1)",0.665,0.68,0.675
"(0, 3, 1.5)","(0, 5, 1.5)",0.885,0.885,0.865
"(0, 3, 1.5)","(0, 5, 2)",0.925,0.985,0.635
"(0, 3, 1.5)","(5, 1, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 1, 2)",0.775,0.995,0.55
"(0, 3, 1.5)","(5, 3, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 3, 2)",0.71,0.99,0.545
"(0, 3, 1.5)","(5, 5, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 5, 1.5)",0.99,0.99,0.99
"(0, 3, 1.5)","(5, 5, 2)",0.58,0.995,0.515
"(0, 3, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
