t,q,fisher,lineal,rbf
0.8,1.0,0.975,0.975,0.975
0.8,1.2,0.8,0.975,0.975
0.8,1.5,0.5,0.975,0.975
0.8,1.7,0.5,0.975,0.975
0.8,2.0,0.475,0.975,0.975
0.8,2.5,0.475,0.975,0.975
0.8,2.8,0.525,0.975,0.975
0.9,1.0,0.925,0.975,0.975
0.9,1.2,0.925,0.975,0.975
0.9,1.5,0.6,0.975,0.975
0.9,1.7,0.5,0.975,0.975
0.9,2.0,0.5,0.975,0.975
0.9,2.5,0.5,0.975,0.975
0.9,2.8,0.6,0.975,0.975
1.0,1.0,0.775,0.975,0.975
1.0,1.2,0.975,0.975,0.975
1.0,1.5,0.825,0.975,0.975
1.0,1.7,0.575,0.975,0.975
1.0,2.0,0.525,0.975,0.975
1.0,2.5,0.525,0.975,0.975
1.0,2.8,0.925,0.975,0.975
