mu,sigma
31.111452287588982,19.043151313615727
31.7347946067476,13.801879268602583
24.317233292964396,19.075491616894233
30.1597824873266,19.88648072982006
27.12725107183722,13.01325508325668
28.098940009400376,16.890694036572985
30.383488113926024,20.17874372247961
27.950063561830902,12.483374831711542
27.638990908577068,12.470518958091773
28.320269602170328,16.189792594655252
25.08840934513908,18.268716450158397
26.61133496791309,13.850485494406941
36.167480877847474,28.05055872081429
26.828492566395788,27.42450502399027
29.296330935655465,23.76589282644342
30.200342037268232,16.437921389908308
29.86044887423649,12.711254093969055
30.43263152873393,19.6269322352536
31.105986840416335,18.909209434426476
29.436124849344857,15.005619673512657
31.68320281717661,19.28669852434096
32.49208830345749,31.301701842838344
34.30529561586169,20.942057541528865
33.355189643539624,19.469998724837684
25.46458903006615,18.04692088082648
33.6480500733492,23.29486345145171
27.420569674812306,15.899692470908427
30.611115535216445,19.222613114989137
29.17805663257091,15.401358139557853
28.977593496729433,15.783740283355886
32.5084596066652,14.78260522755095
27.132673730156036,17.290507817890713
27.519613835890514,16.298177015291774
29.55047935224729,16.855107039971404
30.067982600319755,17.61653106748602
31.141749476639934,17.08880897750762
29.294740986260386,18.48073674997495
33.27268382019149,25.36521734825475
33.21050398727195,12.478268418317327
31.447294532789087,15.932445238771146
30.38265411167333,21.747206199788526
28.037870108552962,21.98112215619155
31.74318994279953,17.974530269810508
28.228842922638155,13.764333109414734
27.26642577683797,17.086994648268966
30.032748163091014,15.399847895404962
31.882054810522735,17.618228485636834
32.13231462863571,15.999108587502759
30.867093839041463,17.535325142125814
29.57873149178738,17.895607541561866
25.1359840493156,20.86416600809844
29.232657741252215,21.878839844661425
27.49170829649121,23.70153461834824
31.425644769262345,14.51292673450511
26.329755799582664,32.098874631954445
33.77282369504554,17.419653358253534
30.354766352864267,12.80051352488195
28.075297994664485,15.070251801391594
29.980066744288344,22.25475831830079
27.365423274713493,15.685208227621668
24.897743664289756,27.422566311562605
36.20596895074361,24.405349075695646
31.95461460399088,18.37473505489293
32.36586498533556,14.632169121017856
30.675552876142024,14.39396008303421
30.550531034026466,19.662859406342143
33.08088820760756,30.672972021043883
32.50238423876967,18.277662998013945
28.007246749658783,18.585014521298856
31.583677316594,19.450781660922882
31.105191849793382,18.072237323448707
28.488687023681273,30.800629679960608
30.131759420304803,23.323987771823102
24.69648442265577,19.210365909810985
26.249002321388648,13.09719081903028
28.443510972043292,13.543849512088837
27.64663934779191,20.164101310479367
28.50032121980994,19.805905608977525
30.47843558631781,17.7626099154463
30.677871219693348,16.414872407305435
31.278825625170022,15.282515335026547
30.699406633573226,16.48505496963062
35.67545738638803,19.96665164493343
31.130183264027675,20.589742655633756
31.31438515993104,18.15201114017915
31.29859320303868,13.477372892825572
32.39862049380557,15.940012358294108
28.539303439212194,19.97993813411359
30.01955959298292,18.730865776565597
32.58086541509666,22.50959639315592
33.512457341640165,21.173207959457294
31.976815445990734,19.42250462952168
30.257117173232533,15.05197085052621
30.633387322570233,20.810344468877332
29.33708467615461,16.635403430296396
29.814879910304953,17.186594946570004
32.08480953680035,21.184719818236967
25.635078998823893,19.034209489004894
28.174959454597015,12.105243622432072
